variable,fvalue_estacion,p_estacion,fvalue_fecha,p_fecha,fvalue_fecha:estacion,p_fecha:estacion
c_n,21.228,0.001,3.828,0.053,4.226,0.042
cic,9.836,0.011,5.112,0.025,2.303,0.132
k_percent,8.325,0.016,1.919,0.168,0.001,0.976
mg_percent,4.011,0.073,0.959,0.329,0.13,0.719
mo,35.185,0,0.602,0.439,0.914,0.341
n_nh4,NA,NA,403,0,NA,NA
n_no3,NA,NA,1198.5,0.187,NA,NA
p,8.169,0.017,0.454,0.502,9.306,0.003
p_h_agua_eez,9.29,0.012,0.989,0.322,10.511,0.002
p_h_k_cl,5.701,0.038,45.363,0,9.393,0.003
humedad,0.058,0.815,50.42,0,48.041,0
n_percent,7.294,0.007,5.121,0.024,2.671,0.102
c_percent,0.118,0.738,6.18,0.014,0.261,0.61
na_percent,2.571,0.109,0.735,0.391,0.07,0.791
