variable,fvalue_pastoreo,p_pastoreo,fvalue_meses,p_meses,fvalue_pastoreo:meses,p_pastoreo:meses
c_n,2.162,0.192,61.875,0,0.936,0.395
cic,1.327,0.293,68.631,0,0.468,0.627
c_percent,1.503,0.266,7.566,0.001,0.133,0.876
k_percent,3.556,0.108,477.471,0,6.383,0.002
humedad,0.623,0.46,24.553,0,9.009,0
fe_percent,0.318,0.593,195.205,0,3.344,0.038
mg_percent,0.751,0.419,3.138,0.047,4.787,0.01
mo,0.424,0.539,20.545,0,0.012,0.989
p,0.023,0.884,12.024,0,1.518,0.223
p_h_agua_eez,0.832,0.397,23.112,0,4.725,0.01
p_h_k_cl,0.007,0.935,17.353,0,3.054,0.05
n_percent,0.036,0.849,12.584,0.002,0.422,0.81
na_percent,3.315,0.069,188.137,0,17.576,0
