estacion,fecha,variable,statistic,lower_ci,upper_ci
Ot,0 preQuema,humedad,12.217855370436961,11.275736537648267,13.201148266123798
Ot,1 postQuema,humedad,12.127156868114684,10.95597124210717,13.25971361542981
Pr,0 preQuema,humedad,15.62093233471005,14.56534592991786,17.109180051889954
Pr,1 postQuema,humedad,8.114423626463179,7.136299442410537,9.306219269049816
Ot,0 preQuema,fe_percent,1.8623750000000001,1.7331455193617282,1.9947910622861609
Ot,1 postQuema,fe_percent,1.8046875,1.7146725951216835,1.8807630330298353
Pr,0 preQuema,fe_percent,1.95,1.82375,2.150752613752472
Pr,1 postQuema,fe_percent,1.9458333333333333,1.7989268683563804,2.1621396148816565
Ot,0 preQuema,k_percent,0.4487083333333333,0.3969118687839366,0.5067487228395791
Ot,1 postQuema,k_percent,0.41125,0.35595610713209414,0.460454051692614
Pr,0 preQuema,k_percent,0.78875,0.6864264215665423,0.9192789482032088
Pr,1 postQuema,k_percent,0.7529166666666667,0.6577272722010936,0.9058057004479697
Ot,0 preQuema,mg_percent,1.2875208333333334,1.1264982069068323,1.465150419721971
Ot,1 postQuema,mg_percent,1.4228750000000001,1.2399157136268564,1.675232436317711
Pr,0 preQuema,mg_percent,1.99625,1.7422650881232018,2.2922917502770126
Pr,1 postQuema,mg_percent,2.05875,1.7543230179734952,2.435
Ot,0 preQuema,na_percent,0.043083333333333335,0.03638984351233022,0.052717317114777555
Ot,1 postQuema,na_percent,0.03754166666666667,0.03240029771786729,0.0440625
Pr,0 preQuema,na_percent,0.06291666666666666,0.0475,0.0826801689907759
Pr,1 postQuema,na_percent,0.06375,0.046153726318279194,0.09837565726760167
Ot,0 preQuema,n_percent,0.21548895833333334,0.1899609880701902,0.2470057108044474
Ot,1 postQuema,n_percent,0.2873202083333333,0.24703843104300433,0.33226215051000113
Pr,0 preQuema,n_percent,0.1925875,0.1641679644880971,0.22523904468314782
Pr,1 postQuema,n_percent,0.1813625,0.16068158980162395,0.19644939988576104
Ot,0 preQuema,c_percent,7.22,6.696458333333333,7.866412510663827
Ot,1 postQuema,c_percent,7.997916666666667,7.423282672584994,8.523583311254285
Pr,0 preQuema,c_percent,7.053333333333334,6.477387437158829,7.617306044533001
Pr,1 postQuema,c_percent,7.565833333333333,6.826054844889597,8.26667576066468
Ot,0 preQuema,c_n,15.363807286523034,14.216714638232833,16.663169458984534
Ot,1 postQuema,c_n,12.736384653797414,11.764693071282249,13.80056539765628
Pr,0 preQuema,c_n,8.807202003346237,7.574083553746666,13.685727254753385
Pr,1 postQuema,c_n,8.872174105660523,8.46704888922687,9.297593601071997
Ot,0 preQuema,cic,16.604166666666668,15.956386095679717,17.28193593327216
Ot,1 postQuema,cic,15.333333333333334,14.785024278032518,15.875
Pr,0 preQuema,cic,13.166666666666666,12.166666666666666,14.00768218764092
Pr,1 postQuema,cic,12.916666666666666,11.916666666666666,14.125
Ot,0 preQuema,p,3.8333333333333335,3.5354166666666664,4.165146217573727
Ot,1 postQuema,p,5.204166666666667,4.783333333333333,5.685416666666667
Pr,0 preQuema,p,6.75,5.125,8.458333333333334
Pr,1 postQuema,p,5.875,5.3370569423651855,6.291666666666667
Ot,0 preQuema,mo,5.372708333333334,4.749498119183423,5.917048001347869
Ot,1 postQuema,mo,6.005,5.1672184261233065,6.774690516687342
Pr,0 preQuema,mo,2.8675,2.406884920422217,3.6740538844129613
Pr,1 postQuema,mo,2.8016666666666667,2.5156654231566975,3.1383873107399856
Ot,0 preQuema,p_h_k_cl,7.462291666666666,7.435375640817412,7.49625
Ot,1 postQuema,p_h_k_cl,7.545,7.514375,7.583752267834761
Pr,0 preQuema,p_h_k_cl,7.520833333333333,7.425,7.591666666666667
Pr,1 postQuema,p_h_k_cl,7.741666666666666,7.670833333333333,7.804166666666666
Ot,0 preQuema,p_h_agua_eez,7.970833333333333,7.936256856329858,8.012916666666667
Ot,1 postQuema,p_h_agua_eez,7.912916666666667,7.87782187769688,7.945459918923231
Pr,0 preQuema,p_h_agua_eez,7.965833333333333,7.852916666666666,8.034733874516252
Pr,1 postQuema,p_h_agua_eez,8.075,8.037083333333333,8.128550800587206
Ot,0 preQuema,n_nh4,0.6158125,0.5644126569359231,0.6912098533329999
Ot,1 postQuema,n_nh4,2.905931818181818,2.26810365675226,3.70404765449907
Ot,0 preQuema,n_no3,0.9158541666666666,0.7971578070220574,1.05435434161019
Ot,1 postQuema,n_no3,0.8147872340425532,0.6947968885468496,0.9827515490814052
